id,period,sheet_name,source_row,date_display,start_date,end_date,year,title,category,item_kind,count,verification_status,public_note
TV01901,7. Dönem (2021–2026),7. DÖNEM,271,2026-11-19 00:00:00,,,2026,Akl-ı Kıssa: Özlem Dilber – 1950'li Yıllarda Türkiye'de Kadın Hareketi,Konferans/Söyleşi,event,1.0,uncertain_date,
TV01902,7. Dönem (2021–2026),7. DÖNEM,272,2026-11-21 00:00:00,,,2026,Minerva: Dila Gümüş – Meşrutiyet'ten Cumhuriyet'e Vedad Tek'in İstanbul'u,Konferans/Söyleşi,event,1,uncertain_date,
TV01903,7. Dönem (2021–2026),7. DÖNEM,273,2026-11-21 00:00:00,,,2026,"İzmir Tarih Buluşmaları: Oktay Özel – Muhacir, Mübadil, Mülteci",Konferans/Söyleşi,event,1,uncertain_date,
TV01904,7. Dönem (2021–2026),7. DÖNEM,274,2026-11-22 00:00:00,,,2026,Ankara: Esra Ansel Derinbay – İmparatorluk'tan Cumhuriyet'e Çay Tüccarları,Konferans/Söyleşi,event,1,uncertain_date,
TV01905,7. Dönem (2021–2026),7. DÖNEM,275,2026-11-28 00:00:00,,,2026,"Perşembe Konuşmaları: Oktay Özel – Kiske Kuşunun Peşinde, Katamizeler",Konferans/Söyleşi,event,1,uncertain_date,
TV01906,7. Dönem (2021–2026),7. DÖNEM,276,2026-11-29 00:00:00,,,2026,"Kadın Kadına Tarih Konferansı (MSGSÜ iş birliği, 3. kez)",Konferans/Söyleşi,event,1,uncertain_date,
TV01907,7. Dönem (2021–2026),7. DÖNEM,277,2026-11-29 00:00:00,,,2026,Ankara: Berke Torunoğlu – Tāb'iyyet ve Teb'īd Arasında Rumlar,Konferans/Söyleşi,event,1,uncertain_date,
TV01908,7. Dönem (2021–2026),7. DÖNEM,277,2026-11-29 00:00:00,,,2026,"Toplumsal Tarih - 372. sayı. Özel Dosya: “ Bizans'ta Hareketlilik"", Ed. Siren Çelik.",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01909,7. Dönem (2021–2026),7. DÖNEM,279,2026-12-13 00:00:00,,,2026,Ankara: Uğur Zekeriya Peçe – Bir Ada Hikayesi: Osmanlı'nın Günbatımında Şiddet,Konferans/Söyleşi,event,1,uncertain_date,
TV01910,7. Dönem (2021–2026),7. DÖNEM,280,2026-12-17 00:00:00,,,2026,Akl-ı Kıssa: Elif Sezer-Aydınlı – 18. yy'da İstanbul'daki Yeniçerilerin Okuduğu Kitaplar,Konferans/Söyleşi,event,1.0,uncertain_date,
TV01911,7. Dönem (2021–2026),7. DÖNEM,281,2026-12-18 00:00:00,,,2026,Panel: 75. Yılından 101. Yılına Türkiye Cumhuriyeti ve Modernlik Nostaljisi,Panel,event,1,uncertain_date,
TV01912,7. Dönem (2021–2026),7. DÖNEM,282,2026-12-19 00:00:00,,,2026,İzmir Tarih Buluşmaları: Savaş Arslan – Türkiye'de Sinema Tarihi,Konferans/Söyleşi,event,1,uncertain_date,
TV01913,7. Dönem (2021–2026),7. DÖNEM,283,2026-12-19 00:00:00,,,2026,Perşembe Konuşmaları: Ayşe Zarakol – Batı'dan Önce,Konferans/Söyleşi,event,1,uncertain_date,
TV01914,7. Dönem (2021–2026),7. DÖNEM,284,2026-12-23 00:00:00,,,2026,Ücretli Seminer (Nadir Gastronomi): Merin Sever – Cumhuriyet Mutfağı,Seminer,event,1,uncertain_date,
TV01915,7. Dönem (2021–2026),7. DÖNEM,285,2026-12-25 00:00:00,,,2026,Panel: Yüzüncü Yılın Ardından Cumhuriyet'i Sınıf Perspektifinden Yorumlamak,Panel,event,,uncertain_date,
TV01916,7. Dönem (2021–2026),7. DÖNEM,286,2026-12-27 00:00:00,,,2026,Ankara: Berrak Burçak – Son Dönem Osmanlı'da Kamu Sağlığı ve Eczacılık,Konferans/Söyleşi,event,1,uncertain_date,
TV01917,7. Dönem (2021–2026),7. DÖNEM,288,2025,,,2025,Vakfın 13. Başkanı: Nurşen Gürboğa. (Başkanlık Süresi: 2025-...),,organizational,,uncertain_date,
TV01918,7. Dönem (2021–2026),7. DÖNEM,288,2025,,,2025,"Toplumsal Tarih - 373. sayı. Özel Dosya: “ 1924 Türkiye İktisat Kongresi'ni Görmek"", Ed. G. Doğan Çetinkaya.",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01919,7. Dönem (2021–2026),7. DÖNEM,290,2026-01-14 00:00:00,,,2026,Akl-ı Kıssa: Gizem Sivri – Geleneksel Bir Kadınları Hapsetme Mekanı Olarak İmam Evleri,Konferans/Söyleşi,event,1.0,uncertain_date,
TV01920,7. Dönem (2021–2026),7. DÖNEM,291,2026-01-16 00:00:00,,,2026,"Minerva: Özde Çeliktemel – Osmanlı İstanbul'unda Filmler, Gösterimler, İzlenimler",Konferans/Söyleşi,event,1,uncertain_date,
TV01921,7. Dönem (2021–2026),7. DÖNEM,291,2026-01-16 00:00:00,,,2026,"Toplumsal Tarih - 374 sayı."" Şubat 1925 Akaretler: Kuruluş Sürecinde TKP""",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01922,7. Dönem (2021–2026),7. DÖNEM,293,2026-02-20 00:00:00,,,2026,İzmir Tarih Buluşmaları: Ceren Pilevneli Çubuk – Hristiyanlık Tarihinde Problemler,Konferans/Söyleşi,event,1,uncertain_date,
TV01923,7. Dönem (2021–2026),7. DÖNEM,294,2026-02-20 00:00:00,,,2026,Ankara: Aytek Soner Alpan – Cinsel Açıdan Hayal Edilmiş Bir Azınlık Olarak İstanbul Rumları,Konferans/Söyleşi,event,1,uncertain_date,
TV01924,7. Dönem (2021–2026),7. DÖNEM,295,2026-02-25 00:00:00,,,2026,"Panel: Ümit Kurt – Osmanlı'da Faillik, Failler ve Şiddet",Panel,event,1,uncertain_date,
TV01925,7. Dönem (2021–2026),7. DÖNEM,296,2026-02-27 00:00:00,,,2026,"Minerva: Seyhun Binzet, Cengiz Kahraman – İstanbul'u Biriktirmek",Konferans/Söyleşi,event,1,uncertain_date,
TV01926,7. Dönem (2021–2026),7. DÖNEM,296,2026-02-27 00:00:00,,,2026,"Toplumsal Tarih - 375. sayı. ""Kadın Kadına Tarih""",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01927,7. Dönem (2021–2026),7. DÖNEM,298,2026-03-06 00:00:00,,,2026,"Perşembe Konuşmaları: Fırat Genç – Şehrin Mirası, 2000'ler Diyarbakırı",Konferans/Söyleşi,event,1,uncertain_date,
TV01928,7. Dönem (2021–2026),7. DÖNEM,299,2026-03-07 00:00:00,,,2026,"Ankara: Pınar Eke, Ceylan Akgün – Çocuk mu Yapmalı Köpek mi Almalı?",Konferans/Söyleşi,event,1,uncertain_date,
TV01929,7. Dönem (2021–2026),7. DÖNEM,300,2026-03-13 00:00:00,,,2026,"Ankara: Cangül Örnek, Neslişah Başaran Lotz – Sınıf Penceresinden Bir Cumhuriyet İncelemesi",Konferans/Söyleşi,event,1,uncertain_date,
TV01930,7. Dönem (2021–2026),7. DÖNEM,301,2026-03-13 00:00:00,,,2026,"İzmir: Şerife Çağın, Didem Yavuz Velipaşaoğlu – 8 Mart Dünya Emekçi Kadınlar Günü",Konferans/Söyleşi,event,1,uncertain_date,
TV01931,7. Dönem (2021–2026),7. DÖNEM,302,2026-03-13 00:00:00,,,2026,Minerva: Ayşe Köse Badur – İşgal İstanbul'undan İnsan Portreleri,Konferans/Söyleşi,event,1,uncertain_date,
TV01932,7. Dönem (2021–2026),7. DÖNEM,303,2026-03-15 00:00:00,,,2026,"Osmanlıca Seminerleri başladı (3. dönem, Ankara + çevrimiçi)",Seminer,event,1,uncertain_date,
TV01933,7. Dönem (2021–2026),7. DÖNEM,303,2026-03-15 00:00:00,,,2026,"Toplumsal Tarih - 376. sayı. Özel Dosya: “Osmanlı'da Keyif Verici Maddeler."" Ed. Derviş Tuğrul Koyuncu.",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01934,7. Dönem (2021–2026),7. DÖNEM,305,2026-04-12 00:00:00,,,2026,Sinematek: Aydın Çam – İkinci Dünya Harbi ve Safahatı: Adana Sinemaları,Konferans/Söyleşi,event,1,uncertain_date,
TV01935,7. Dönem (2021–2026),7. DÖNEM,306,2026-04-16 00:00:00,,,2026,"Ankara: Yasin Arslantaş – Müsadere ya da ""Mirîce Zabt""",Konferans/Söyleşi,event,1,uncertain_date,
TV01936,7. Dönem (2021–2026),7. DÖNEM,307,2026-04-19 00:00:00,,,2026,Sinematek: Esin Paşa Cengiz – Tarihi Filmi Yeniden Düşünmek,Konferans/Söyleşi,event,1,uncertain_date,
TV01937,7. Dönem (2021–2026),7. DÖNEM,308,2026-04-24 00:00:00,,,2026,Minerva: Tommaso Stefini – 17. Yüzyılda Galata'da Göç ve Aidiyet,Konferans/Söyleşi,event,1,uncertain_date,
TV01938,7. Dönem (2021–2026),7. DÖNEM,309,2026-04-25 00:00:00,,,2026,Ankara: Barış Çatal – Sertellerin Ankarası,Konferans/Söyleşi,event,1,uncertain_date,
TV01939,7. Dönem (2021–2026),7. DÖNEM,310,25-26 Nisan,2026-04-25,2026-04-26,2026,Bursa Emek ve Endüstri Tarihi Uluslararası Sempozyumu,Konferans/Söyleşi,event,1,verified,
TV01940,7. Dönem (2021–2026),7. DÖNEM,311,2026-04-29 00:00:00,,,2026,Akl-ı Kıssa: Gülhan Balsoy – Osmanlı'da Avare Kadınlar,Konferans/Söyleşi,event,1.0,uncertain_date,
